Specialty,"Specialty
Code
HBP 2022","Package
Code
HBP 2022","AB PMJAY Package
Name","Procedure code
HBP 2022",Procedure Name 2022,Tier3 (Z),Tier2 (Y),Tier1 (X),Implant mapped.,implant cost,"Stratification
remarks",,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM001,Thermal burns,BM001A,"Criteria 1: % Total Body
Surface Area Burns
(TBSA):less than 20% in
adults and less than 10%
in children younger than
12 years. Dressing without
anesthesia",7000,8200,8800,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM001,Thermal burns,BM001B,"Criteria 2: % Total Body
Surface Area Burns
(TBSA): Upto 25%;
Includes % TBSA skin
grafted, flap cover, follow-
up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",50000,56800,60000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM001,Thermal burns,BM001C,"Criteria 3: % Total Body
Surface Area Burns
(TBSA): 25-40 %; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",62500,71000,75000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM001,Thermal burns,BM001D,"Criteria 4: % Total Body
Surface Area Burns
(TBSA):40- 60 %; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",100000,113600,120000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM001,Thermal burns,BM001E,"Criteria 5: % Total Body
Surface Area Burns
(TBSA):60-80 %; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",100000,113600,120000,NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM002,Scald burns,BM002A,"Criteria 1: % Total Body
Surface Area Burns
(TBSA): less than 20% in
adults and less than 10%
in children younger than
12 years. Dressing without
anesthesia",7000,8200,8800,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM002,Scald burns,BM002B,"Criteria 2: % Total Body
Surface Area Burns
(TBSA): Upto 25%;
Includes % TBSA skin
grafted, flap cover, follow-
up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",50000,56800,60000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM002,Scald burns,BM002C,"Criteria 3: % Total Body
Surface Area Burns
(TBSA): 25-40 %; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",62500,71000,75000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM002,Scald burns,BM002D,"Criteria 4: % Total Body
Surface Area Burns
(TBSA):40- 60 %; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",100000,113600,120000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM002,Scald burns,BM002E,"Criteria 5: % Total Body
Surface Area Burns
(TBSA):60-80 %; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",100000,113600,120000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM003,Flame burns,BM003A,"% Total Body Surface
Area Burns (TBSA) - any
%
(not requiring admission).
Needs at least 5-6
dressing",7000,8200,8800,NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM003,Flame burns,BM003B,"% Total Body Surface
Area Burns (TBSA): Upto
40 %; Includes % TBSA
skin grafted, flap cover,
follow-up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",50000,56800,60000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM003,Flame burns,BM003C,"% Total Body Surface
Area Burns (TBSA): 40 % -
60 %; Includes % TBSA
skin grafted, flap cover,
follow-up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",62500,71000,75000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM003,Flame burns,BM003D,"% Total Body Surface
Area Burns (TBSA): > 60
%; Includes % TBSA skin
grafted, flap cover, follow-
up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",100000,113600,120000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM004,"Electrical contact
burns",BM004A,"Electrical contact burns:
Low voltage - without part
of limb / limb loss;
Includes % TBSA skin
grafted, flap cover, follow-
up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",37500,42600,45000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM004,"Electrical contact
burns",BM004B,"Electrical contact burns:
Low voltage - with part of
limb / limb loss; Includes
% TBSA skin grafted, flap
cover, follow-up dressings
Amputation etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",50000,56800,60000,NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM004,"Electrical contact
burns",BM004C,"Electrical contact burns:
High voltage - with part of
limb / limb loss; Includes
% TBSA skin grafted, flap
cover,fasciotomy +/-
/amputation/Central IV
Line/debridement/early
skin grafting pedicle or
free flap coverage,follow-
up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings alone.",75000,85200,90000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM004,"Electrical contact
burns",BM004D,"Electrical contact burns:
High voltage - without part
of limb / limb loss;
Includes % TBSA skin
grafted, flap cover,
fasciotomy +/-
/debridement/early skin
grafting/flap cover: pedicle
or free flap
coverage,follow-up
dressings etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",62500,71000,75000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM005,Chemical burns,BM005A,"Chemical burns: Without
significant facial scarring
and/or loss of function;
Includes % TBSA skin
grafted, flap cover, follow-
up dressings etc. as
deemed necessary;
Surgical procedures are
required for deep burns
that are not amenable to
heal with dressings
alone.(Similar to therma
burns
require more grafting,
debridement,(skin
grafing/canthopexy)",50000,56800,60000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM005,Chemical burns,BM005B,"Chemical burns: With
significant facial scarring
and/or loss of function;
Includes % TBSA skin
grafted, flap
cover,debridement,skin
grafting,follow-up
dressings etc. as deemed
necessary; Surgical
procedures are required
for deep burns that are not
amenable to heal with
dressings alone.",75000,85200,90000,NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM006,"Post Burn Contracture
surgeries for
Functional
Improvement",BM006A,"Post Burn Contracture
surgeries for Functional
Improvement (Package
including splints, pressure
garments, silicone - gel
sheet and physiotherapy):
Excluding Neck
contracture; Contracture
release with - Split
thickness Skin Graft
(STSG) / Full Thickness
Skin Graft (FTSG) / Flap
cover is done for each
joint with post - operative
regular dressings for
STSG / FTSG / Flap
cover.",62500,71000,75000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Burns
Management",BM,BM006,"Post Burn Contracture
surgeries for
Functional
Improvement",BM006B,"Post Burn Contracture
surgeries for Functional
Improvement (Package
including splints, pressure
garments,contracture
release & split skin graft
with or without flap
reconstruction,silicone -
gel sheet and
physiotherapy): Neck
contracture; Contracture
release with - Split
thickness Skin Graft
(STSG) /
Full Thickness Skin Graft
(FTSG) / Flap cover is
done for each joint with
post-operative regular
dressings for STSG /
FTSG / Flap cover.",62500,71000,75000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Emergency
Room
Packages",ER,ER001,"Laceration - Suturing /
Dressing",ER001A,"Laceration - Suturing /
Dressing",2000,2300,2300,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Emergency
Room
Packages",ER,ER002,"Cardiopulmonary
emergency",ER002A,"Emergency with stable
cardiopulmonary status",2000,2300,2300,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Emergency
Room
Packages",ER,ER002,"Cardiopulmonary
emergency",ER002B,"Emergency with unstable
cardiopulmonary status
with
resuccitation",11000,12300,12300,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Emergency
Room
Packages",ER,ER003,"Animal bites
(Excluding Snake Bite)",ER003A,"Animal bites (Excluding
Snake Bite)",1700,2000,2000,NA,NA,NA,,,,,,,,,,,,,,,,,,
