package_code,procedure_name,tier3_cost,tier2_cost,tier1_cost,category,private_tier1,private_tier2,private_tier3,private_metro
BM001,Thermal burns,7000.0,8200.0,8800.0,BM,28160,26240,22400,35200
BM001,Thermal burns,50000.0,56800.0,60000.0,BM,192000,181760,160000,240000
BM001,Thermal burns,62500.0,71000.0,75000.0,BM,240000,227200,200000,300000
BM001,Thermal burns,100000.0,113600.0,120000.0,BM,384000,363520,320000,480000
BM001,Thermal burns,100000.0,113600.0,120000.0,BM,384000,363520,320000,480000
,,,,,,,,,
BM002,Scald burns,7000.0,8200.0,8800.0,BM,28160,26240,22400,35200
BM002,Scald burns,50000.0,56800.0,60000.0,BM,192000,181760,160000,240000
BM002,Scald burns,62500.0,71000.0,75000.0,BM,240000,227200,200000,300000
BM002,Scald burns,100000.0,113600.0,120000.0,BM,384000,363520,320000,480000
BM002,Scald burns,100000.0,113600.0,120000.0,BM,384000,363520,320000,480000
BM003,Flame burns,7000.0,8200.0,8800.0,BM,28160,26240,22400,35200
,,,,,,,,,
BM003,Flame burns,50000.0,56800.0,60000.0,BM,192000,181760,160000,240000
BM003,Flame burns,62500.0,71000.0,75000.0,BM,240000,227200,200000,300000
BM003,Flame burns,100000.0,113600.0,120000.0,BM,384000,363520,320000,480000
BM004,"Electrical contact
burns",37500.0,42600.0,45000.0,BM,144000,136320,120000,180000
BM004,"Electrical contact
burns",50000.0,56800.0,60000.0,BM,192000,181760,160000,240000
,,,,,,,,,
BM004,"Electrical contact
burns",75000.0,85200.0,90000.0,BM,288000,272640,240000,360000
BM004,"Electrical contact
burns",62500.0,71000.0,75000.0,BM,240000,227200,200000,300000
BM005,Chemical burns,50000.0,56800.0,60000.0,BM,192000,181760,160000,240000
BM005,Chemical burns,75000.0,85200.0,90000.0,BM,288000,272640,240000,360000
,,,,,,,,,
BM006,"Post Burn Contracture
surgeries for
Functional
Improvement",62500.0,71000.0,75000.0,BM,240000,227200,200000,300000
BM006,"Post Burn Contracture
surgeries for
Functional
Improvement",62500.0,71000.0,75000.0,BM,240000,227200,200000,300000
ER001,"Laceration - Suturing /
Dressing",2000.0,2300.0,2300.0,ER,7360,7360,6400,9200
ER002,"Cardiopulmonary
emergency",2000.0,2300.0,2300.0,ER,7360,7360,6400,9200
ER002,"Cardiopulmonary
emergency",11000.0,12300.0,12300.0,ER,39360,39360,35200,49200
ER003,"Animal bites
(Excluding Snake Bite)",1700.0,2000.0,2000.0,ER,6400,6400,5440,8000
SB001,"Fracture -
Conservative
Management -
Without plaster",2300.0,2600.0,2900.0,SB,9280,8320,7360,11600
SU073,"Emergency
management of
Hematuria",2700.0,3000.0,3200.0,SU,10240,9600,8640,12800
HD001,Lymphangiography,10920.0,10920.0,10920.0,HD,34944,34944,34944,43680
HD002,"Diagnostic venography
(DVA)",5520.0,5520.0,5520.0,HD,17664,17664,17664,22080
HD003,"IVUS(Intravascular
Ultrasound)-
peripheral vessels",16560.0,16560.0,16560.0,HD,52992,52992,52992,66240
,,,,,,,,,
HD004,Diskography,5520.0,5520.0,5520.0,HD,17664,17664,17664,22080
HD005,"USG guided
percutaneous biopsy",2520.0,2520.0,2520.0,HD,8064,8064,8064,10080
HD006,"USG guided
percutaneous FNAC",720.0,720.0,720.0,HD,2304,2304,2304,2880
HD007,"USG guided
percutaneous needle
aspiration",720.0,720.0,720.0,HD,2304,2304,2304,2880
HD008,"CT guided
percutaneous biopsy",3720.0,3720.0,3720.0,HD,11904,11904,11904,14880
HD009,"CT guided
percutaneous FNAC",3120.0,3120.0,3120.0,HD,9984,9984,9984,12480
HD010,"CT guided
percutaneous needle
aspiration",3120.0,3120.0,3120.0,HD,9984,9984,9984,12480
HD011,Genetic workup,20000.0,20000.0,20000.0,HD,64000,64000,64000,80000
HD012,Metabolic work up,30000.0,30000.0,30000.0,HD,96000,96000,96000,120000
HD013,"Vedio EEG Monitoring
Test (VEEG)",3600.0,3600.0,3600.0,HD,11520,11520,11520,14400
HM001,"Recombinant tissue
plasminogen activator",42000.0,42000.0,42000.0,HM,134400,134400,134400,168000
HM002,Tenecteplase,24900.0,24900.0,24900.0,HM,79680,79680,79680,99600
HM003,Heparin,15000.0,15000.0,15000.0,HM,48000,48000,48000,60000
HM004,Methylprednisolone,25000.0,25000.0,25000.0,HM,80000,80000,80000,100000
HM005,Erythropoeitin,0.0,0.0,0.0,HM,0,0,0,0
HM006,"Liposomal
amphotericin",125000.0,125000.0,125000.0,HM,400000,400000,400000,500000
HM007,IVIG,200000.0,200000.0,200000.0,HM,640000,640000,640000,800000
HM008,"IvIg for Kawasaki
Disease",2000.0,2000.0,2000.0,HM,6400,6400,6400,8000
HM009,IvIg for GB Syndrome,2000.0,2000.0,2000.0,HM,6400,6400,6400,8000
HM010,IvIg for ITP,2000.0,2000.0,2000.0,HM,6400,6400,6400,8000
HM011,Rituximab,7500.0,7500.0,7500.0,HM,24000,24000,24000,30000
,,,,,,,,,
HM012,Human Albumin 20%,6000.0,6000.0,6000.0,HM,19200,19200,19200,24000
HM013,Albumin 5%,3000.0,3000.0,3000.0,HM,9600,9600,9600,12000
HM017,Imipenem,7000.0,7000.0,7000.0,HM,22400,22400,22400,28000
HM018,Meropenem,7000.0,7000.0,7000.0,HM,22400,22400,22400,28000
HM019,"Piperacillin-
Tazobactem",3000.0,3000.0,3000.0,HM,9600,9600,9600,12000
HM020,Colistin,7000.0,7000.0,7000.0,HM,22400,22400,22400,28000
HM021,Vancomycin,2100.0,2100.0,2100.0,HM,6720,6720,6720,8400
HM022,"Amphotericin
deoxycholate",1000.0,1000.0,1000.0,HM,3200,3200,3200,4000
HP001,"USG guided
percutaneous
Radiofrequency
Ablation (RFA)",26640.0,26640.0,26640.0,HP,85248,85248,85248,106560
HP002,"USG guided
percutaneous
Microwave Ablation
(MWA)",30640.0,30640.0,30640.0,HP,98048,98048,98048,122560
HP003,"CT guided
percutaneous
Radiofrequency
Ablation (RFA)",29040.0,29040.0,29040.0,HP,92928,92928,92928,116160
HP004,"CT guided
percutaneous
Microwave Ablation
(MWA)",33040.0,33040.0,33040.0,HP,105728,105728,105728,132160
HP005,"USG guided
percutaneous catheter
drainage",5820.0,5820.0,5820.0,HP,18624,18624,18624,23280
HP006,"CT guided
percutaneous catheter
drainage",5820.0,5820.0,5820.0,HP,18624,18624,18624,23280
HP007,"Cerebral angiogram
under local anesthesia",5800.0,5800.0,5800.0,HP,18560,18560,18560,23200
HP008,"Cerebral angiogram
under general
anesthesia",18900.0,18900.0,18900.0,HP,60480,60480,60480,75600
HP009,"Spinal Angiogram
under general
anesthesia",18900.0,18900.0,18900.0,HP,60480,60480,60480,75600
HP010,Plasmapheresis,70000.0,70000.0,70000.0,HP,224000,224000,224000,280000
ID001,"Laboratory Tests for
COVID-19 Infection
(PCR)
(Reimbursement level
for this package will be
as per the ICMR
guidelines, issued
from time to time)",1500.0,1500.0,1500.0,ID,4800,4800,4800,6000
,,,,,,,,,
ID001,"Laboratory Tests for
COVID-19 Infection
(PCR)
(Reimbursement level
for this package will be
as per the ICMR
guidelines, issued
from time to time)",3000.0,3000.0,3000.0,ID,9600,9600,9600,12000
ID003,"Treatment of COVID-
19 Infection",0.0,0.0,0.0,ID,0,0,0,0
ID005,"Treatment of systemic
fungal infections",0.0,0.0,0.0,ID,0,0,0,0
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840,140160,123200,184800
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840,140160,123200,184800
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840,140160,123200,184800
MG010,"Chronic PD catheter
Insertion",4100.0,4700.0,4700.0,MG,15040,15040,13120,18800
MG082,"Bone marrow
aspiration of biopsy",1200.0,1600.0,1600.0,MG,5120,5120,3840,6400
MG083,Lumbar puncture,100.0,200.0,200.0,MG,640,640,320,800
MG084,Joint Aspiration,200.0,300.0,300.0,MG,960,960,640,1200
MG085,"DVT Pneumatic
Compression
Stockings (Add on
package in ICU)",900.0,1100.0,1200.0,MG,3840,3520,2880,4800
MG097,"Endobronchial
Ultrasound (EBUS)",15700.0,18000.0,18000.0,MG,57600,57600,50240,72000
SU008,"Nephrostomy -
Percutaneous
ultrasound guided",18800.0,21300.0,22500.0,SU,72000,68160,60160,90000
MC001,"Right / Left Heart
Catheterization",12500.0,14200.0,15000.0,MC,48000,45440,40000,60000
MC001,"Right / Left Heart
Catheterization",12500.0,14200.0,15000.0,MC,48000,45440,40000,60000
,,,,,,,,,
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840,140160,123200,184800
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840,140160,123200,184800
MC002,"Catheter directed
Thrombolysis",38500.0,43800.0,46200.0,MC,147840,140160,123200,184800
MC003,Balloon Dilatation,48300.0,54900.0,57900.0,MC,185280,175680,154560,231600
MC003,Balloon Dilatation,48300.0,54900.0,57900.0,MC,185280,175680,154560,231600
MC004,"Balloon Pulmonary /
Aortic Valvotomy",29300.0,33300.0,35100.0,MC,112320,106560,93760,140400
MC004,"Balloon Pulmonary /
Aortic Valvotomy",29300.0,33300.0,35100.0,MC,112320,106560,93760,140400
MC005,"Balloon Mitral
Valvotomy",44700.0,50700.0,53600.0,MC,171520,162240,143040,214400
MC006,"Balloon Atrial
Septostomy",30500.0,34700.0,36600.0,MC,117120,111040,97600,146400
MC007,ASD Device Closure,46200.0,52400.0,55400.0,MC,177280,167680,147840,221600
MC008,VSD Device Closure,47400.0,53900.0,56900.0,MC,182080,172480,151680,227600
MC009,PDA Device Closure,40800.0,46300.0,48900.0,MC,156480,148160,130560,195600
MC010,PDA stenting,50400.0,57200.0,60400.0,MC,193280,183040,161280,241600
MC011,"PTCA, inclusive of
diagnostic angiogram",50800.0,57700.0,60900.0,MC,194880,184640,162560,243600
MC012,"Electrophysiological
Study",34700.0,39400.0,41600.0,MC,133120,126080,111040,166400
,,,,,,,,,
MC012,"Electrophysiological
Study",34700.0,39400.0,41600.0,MC,133120,126080,111040,166400
MC013,"Percutaneous
Transluminal Septal
Myocardial Ablation",42500.0,48300.0,51000.0,MC,163200,154560,136000,204000
MC014,"Temporary Pacemaker
implantation",24000.0,27300.0,28800.0,MC,92160,87360,76800,115200
MC015,"Single Chamber
Permanent
Pacemaker
Implantation",30700.0,34800.0,36800.0,MC,117760,111360,98240,147200
MC016,"Double Chamber
Permanent
Pacemaker
Implantation",41300.0,46900.0,49500.0,MC,158400,150080,132160,198000
MC017,Peripheral Angioplasty,43200.0,49000.0,51800.0,MC,165760,156800,138240,207200
MC018,"Bronchial artery
Embolisation
(for Haemoptysis)",41000.0,46600.0,49200.0,MC,157440,149120,131200,196800
MC019,Pericardiocentesis,15200.0,17200.0,18200.0,MC,58240,55040,48640,72800
MC020,"Systemic
Thrombolysis (for MI)",22400.0,25500.0,26900.0,MC,86080,81600,71680,107600
MC021,Embolization,50800.0,57700.0,60900.0,MC,194880,184640,162560,243600
